wiki,region,language
enwiki,Global / Anglosphere,English
simplewiki,Global,Simple English
dewiki,Germany / DACH,German
frwiki,France / Francophone,French
eswiki,Spain / Latin America,Spanish
itwiki,Italy,Italian
jawiki,Japan,Japanese
zhwiki,China / Taiwan / Singapore,Chinese
arwiki,Middle East / North Africa,Arabic
ruwiki,Russia / CIS,Russian
ptwiki,Portugal / Brazil,Portuguese
nlwiki,Netherlands / Belgium,Dutch
svwiki,Sweden,Swedish
plwiki,Poland,Polish
cswiki,Czech Republic,Czech
ukwiki,Ukraine,Ukrainian
hewiki,Israel,Hebrew
kowiki,South Korea,Korean
viwiki,Vietnam,Vietnamese
idwiki,Indonesia,Indonesian
fawiki,Iran / Afghanistan / Tajikistan,Persian
trwiki,Turkey,Turkish
huwiki,Hungary,Hungarian
rowiki,Romania / Moldova,Romanian
fiwiki,Finland,Finnish
nowiki,Norway,Norwegian
elwiki,Greece / Cyprus,Greek
bgwiki,Bulgaria,Bulgarian
thwiki,Thailand,Thai
bnwiki,Bangladesh / India,Bengali
hiwiki,India,Hindi
urwiki,Pakistan,Urdu
etwiki,Estonia,Estonian
ltwiki,Lithuania,Lithuanian
lvwiki,Latvia,Latvian
